Apr. 22, 2023   20:39:37
Amperometric i-t Curve
File: c:\users\user\desktop\20230422\20230422_mcdi_run1_12v_10min_charge.txt
Data Source:  Experiment
Instrument Model:  CHI6273E
4-electrode
Header: 
Note: 

Init E (V) = 1.2
Sample Interval (s) = 1
Run Time (sec) = 600
Quiet Time (sec) = 0
Sensitivity (A/V) = 0.1


Time/sec, Current/A

2.010e+2, -4.775e-2
2.020e+2, -4.735e-2
2.030e+2, -4.731e-2
2.040e+2, -4.719e-2
2.050e+2, -4.665e-2
2.060e+2, -4.592e-2
2.070e+2, -4.587e-2
2.080e+2, -4.577e-2
2.090e+2, -4.550e-2
2.100e+2, -4.462e-2
2.110e+2, -4.445e-2
2.120e+2, -4.437e-2
2.130e+2, -4.422e-2
2.140e+2, -4.352e-2
2.150e+2, -4.309e-2
2.160e+2, -4.301e-2
2.170e+2, -4.287e-2
2.180e+2, -4.246e-2
2.190e+2, -4.178e-2
2.200e+2, -4.168e-2
2.210e+2, -4.156e-2
2.220e+2, -4.133e-2
2.230e+2, -4.059e-2
2.240e+2, -4.037e-2
2.250e+2, -4.027e-2
2.260e+2, -4.012e-2
2.270e+2, -3.956e-2
2.280e+2, -3.912e-2
2.290e+2, -3.901e-2
2.300e+2, -3.886e-2
2.310e+2, -3.853e-2
2.320e+2, -3.791e-2
2.330e+2, -3.779e-2
2.340e+2, -3.766e-2
2.350e+2, -3.746e-2
2.360e+2, -3.684e-2
2.370e+2, -3.658e-2
2.380e+2, -3.648e-2
2.390e+2, -3.633e-2
2.400e+2, -3.588e-2
2.410e+2, -3.545e-2
2.420e+2, -3.534e-2
2.430e+2, -3.520e-2
2.440e+2, -3.493e-2
2.450e+2, -3.439e-2
2.460e+2, -3.425e-2
2.470e+2, -3.411e-2
2.480e+2, -3.394e-2
2.490e+2, -3.343e-2
2.500e+2, -3.316e-2
2.510e+2, -3.305e-2
2.520e+2, -3.291e-2
2.530e+2, -3.255e-2
2.540e+2, -3.214e-2
2.550e+2, -3.202e-2
2.560e+2, -3.188e-2
2.570e+2, -3.165e-2
2.580e+2, -3.118e-2
2.590e+2, -3.102e-2
2.600e+2, -3.089e-2
2.610e+2, -3.074e-2
2.620e+2, -3.031e-2
2.630e+2, -3.004e-2
2.640e+2, -2.994e-2
2.650e+2, -2.980e-2
2.660e+2, -2.951e-2
2.670e+2, -2.913e-2
2.680e+2, -2.902e-2
2.690e+2, -2.888e-2
2.700e+2, -2.869e-2
2.710e+2, -2.829e-2
2.720e+2, -2.813e-2
2.730e+2, -2.801e-2
2.740e+2, -2.787e-2
2.750e+2, -2.752e-2
2.760e+2, -2.725e-2
2.770e+2, -2.715e-2
2.780e+2, -2.703e-2
2.790e+2, -2.679e-2
2.800e+2, -2.644e-2
2.810e+2, -2.633e-2
2.820e+2, -2.621e-2
2.830e+2, -2.605e-2
2.840e+2, -2.570e-2
2.850e+2, -2.553e-2
2.860e+2, -2.542e-2
2.870e+2, -2.530e-2
2.880e+2, -2.502e-2
2.890e+2, -2.476e-2
2.900e+2, -2.467e-2
2.910e+2, -2.455e-2
2.920e+2, -2.436e-2
2.930e+2, -2.405e-2
2.940e+2, -2.394e-2
2.950e+2, -2.382e-2
2.960e+2, -2.369e-2
2.970e+2, -2.339e-2
2.980e+2, -2.322e-2
2.990e+2, -2.311e-2
3.000e+2, -2.301e-2
3.010e+2, -2.277e-2
3.020e+2, -2.253e-2
3.030e+2, -2.244e-2
3.040e+2, -2.234e-2
3.050e+2, -2.218e-2
3.060e+2, -2.190e-2
3.070e+2, -2.179e-2
3.080e+2, -2.169e-2
3.090e+2, -2.157e-2
3.100e+2, -2.132e-2
3.110e+2, -2.117e-2
3.120e+2, -2.107e-2
3.130e+2, -2.098e-2
3.140e+2, -2.078e-2
3.150e+2, -2.056e-2
3.160e+2, -2.048e-2
3.170e+2, -2.038e-2
3.180e+2, -2.025e-2
3.190e+2, -2.000e-2
3.200e+2, -1.990e-2
3.210e+2, -1.981e-2
3.220e+2, -1.971e-2
3.230e+2, -1.950e-2
3.240e+2, -1.935e-2
3.250e+2, -1.926e-2
3.260e+2, -1.917e-2
3.270e+2, -1.901e-2
3.280e+2, -1.881e-2
3.290e+2, -1.873e-2
3.300e+2, -1.865e-2
3.310e+2, -1.854e-2
3.320e+2, -1.832e-2
3.330e+2, -1.822e-2
3.340e+2, -1.814e-2
3.350e+2, -1.805e-2
3.360e+2, -1.787e-2
3.370e+2, -1.772e-2
3.380e+2, -1.765e-2
3.390e+2, -1.757e-2
3.400e+2, -1.744e-2
3.410e+2, -1.725e-2
3.420e+2, -1.718e-2
3.430e+2, -1.710e-2
3.440e+2, -1.701e-2
3.450e+2, -1.682e-2
3.460e+2, -1.672e-2
3.470e+2, -1.665e-2
3.480e+2, -1.657e-2
3.490e+2, -1.642e-2
3.500e+2, -1.628e-2
3.510e+2, -1.621e-2
3.520e+2, -1.615e-2
3.530e+2, -1.604e-2
3.540e+2, -1.587e-2
3.550e+2, -1.580e-2
3.560e+2, -1.573e-2
3.570e+2, -1.565e-2
3.580e+2, -1.549e-2
3.590e+2, -1.539e-2
3.600e+2, -1.532e-2
3.610e+2, -1.525e-2
3.620e+2, -1.513e-2
3.630e+2, -1.500e-2
3.640e+2, -1.494e-2
3.650e+2, -1.488e-2
3.660e+2, -1.479e-2
3.670e+2, -1.463e-2
3.680e+2, -1.457e-2
3.690e+2, -1.451e-2
3.700e+2, -1.444e-2
3.710e+2, -1.430e-2
3.720e+2, -1.421e-2
3.730e+2, -1.415e-2
3.740e+2, -1.409e-2
3.750e+2, -1.399e-2
3.760e+2, -1.387e-2
3.770e+2, -1.382e-2
3.780e+2, -1.376e-2
3.790e+2, -1.368e-2
3.800e+2, -1.355e-2
3.810e+2, -1.349e-2
3.820e+2, -1.344e-2
3.830e+2, -1.338e-2
3.840e+2, -1.326e-2
3.850e+2, -1.318e-2
3.860e+2, -1.312e-2
3.870e+2, -1.307e-2
3.880e+2, -1.299e-2
3.890e+2, -1.288e-2
3.900e+2, -1.283e-2
3.910e+2, -1.278e-2
3.920e+2, -1.272e-2
3.930e+2, -1.260e-2
3.940e+2, -1.254e-2
3.950e+2, -1.249e-2
3.960e+2, -1.244e-2
3.970e+2, -1.234e-2
3.980e+2, -1.226e-2
3.990e+2, -1.221e-2
4.000e+2, -1.216e-2
4.010e+2, -1.209e-2
4.020e+2, -1.199e-2
4.030e+2, -1.194e-2
4.040e+2, -1.190e-2
4.050e+2, -1.184e-2
4.060e+2, -1.174e-2
4.070e+2, -1.168e-2
4.080e+2, -1.164e-2
4.090e+2, -1.159e-2
4.100e+2, -1.151e-2
4.110e+2, -1.144e-2
4.120e+2, -1.139e-2
4.130e+2, -1.135e-2
4.140e+2, -1.129e-2
4.150e+2, -1.120e-2
4.160e+2, -1.115e-2
4.170e+2, -1.111e-2
4.180e+2, -1.106e-2
4.190e+2, -1.098e-2
4.200e+2, -1.092e-2
4.210e+2, -1.088e-2
4.220e+2, -1.084e-2
